date,day_of_week,day_of_week_code,is_weekend,month,season_code,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,is_holiday,holiday_5,holiday_weekend,holiday_friendly,holiday_code,holiday_type,websession,websession30,websession45,websession60,seosearch,seosearch30,seosearch45,seasearch60,webhit,webhit30,webhit45,webhit60,webpv,webpv30,webpv45,webpv60,adclick,adclick30,adclick45,adclick60,adview,adview30,adview45,adview60,adconv,adconv30,adconv45,adconv60,priceact
8/19/2018,Sunday,3,0,8,3,62,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,708,19581,28910,38198,125,4728,7066,9242,3228,101921,152283,201478,3088,97187,145255,192147,111,392,512,599,2882,7500,9260,10728,0,15,18,21,176.3
10/19/2017,Thursday,6,1,10,4,35,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,793,19995,26515,32291,196,6345,9348,11801,4318,93218,110991,126965,4115,86849,101628,115002,5,101,135,179,43,904,1367,1852,0,3,4,6,176.42
9/16/2018,Sunday,3,0,9,4,63,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,926,21261,30737,40854,219,4869,7114,9671,4893,109981,159522,213031,4655,104287,151459,202516,41,473,703,1100,3296,82394,128781,169190,1,7,8,12,176.45
9/5/2017,Tuesday,4,0,9,4,43,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,401,11364,16842,22097,175,4880,7176,9415,1157,32217,48313,64384,945,26875,40335,53680,6,150,180,220,72,1386,1823,2307,0,2,2,3,176.53
7/27/2017,Thursday,6,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,402,10467,15296,19733,177,4345,6324,8137,1207,31609,46275,60114,992,26349,38492,50153,2,128,184,293,10,1350,2202,3262,0,2,2,4,176.61
9/18/2018,Tuesday,5,0,9,4,59,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,788,21562,31141,41143,199,5001,7238,9729,3914,112563,161652,214484,3711,106692,153446,203879,30,481,710,977,6964,83956,129398,176696,0,6,7,10,176.62
11/29/2016,Tuesday,4,0,11,4,29,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,188,270,360,84,6362,10542,11499,0,1,2,4,176.66
1/9/2016,Saturday,7,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,678,1134,1485,103,3613,6896,9994,0,27,41,51,176.73
1/2/2019,Wednesday,6,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1148,30710,44686,58688,276,7980,11674,15222,6008,147836,215543,286175,5700,139043,203110,270145,0,687,1108,1659,1,19669,32152,47675,0,3,5,10,176.75
1/11/2018,Thursday,6,1,1,1,43,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,962,28250,45656,60497,241,7811,12694,16621,4768,141484,224798,300990,4479,133381,211944,283962,5,119,213,275,66,1213,2025,2757,0,7,15,16,176.91
5/8/2015,Friday,6,1,5,2,88,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,411,635,792,253,8757,12896,15503,0,5,6,6,177.01
7/22/2016,Friday,7,1,7,3,88,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,521,734,964,107,12738,20335,27308,0,14,18,22,177.03
9/22/2016,Thursday,6,1,9,4,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,536,792,1039,548,14769,23457,31608,0,7,9,14,177.07
3/12/2016,Saturday,7,1,3,2,89,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,290,465,650,75,1803,3072,4412,1,11,15,19,177.08
1/23/2015,Friday,6,1,1,1,59,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,261,482,627,181,7075,10841,14203,0,2,5,6,177.16
8/5/2018,Sunday,3,0,8,3,80,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,646,19384,28634,36393,158,4843,7043,8854,3508,103664,153180,194885,3317,98930,146120,185781,11,210,267,337,282,3423,4619,6068,0,6,7,8,177.27
4/29/2016,Friday,6,1,4,2,75,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,209,341,540,30,1305,2274,3321,0,12,14,20,177.39
8/24/2016,Wednesday,5,0,8,3,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,579,900,1180,960,20053,28616,37576,0,8,10,17,177.46
11/18/2016,Friday,7,1,11,4,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,164,281,465,64,8152,10301,14737,1,2,4,8,177.57
10/5/2017,Thursday,6,1,10,4,65,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,751,14801,20611,26165,200,6161,8623,11041,4153,50053,66273,82270,3946,43885,57447,70760,7,80,147,196,39,931,1574,2108,0,2,3,4,177.58
8/6/2017,Sunday,2,0,8,3,82,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,336,10733,15602,20375,121,4535,6492,8443,903,32167,46699,61272,798,26805,38924,51081,4,147,210,260,58,1366,2070,2800,0,3,5,5,177.63
1/24/2015,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,261,474,624,248,7177,10679,14288,1,3,6,7,177.67
8/14/2017,Monday,3,0,8,3,84,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,385,10996,15974,20759,185,4597,6688,8651,1105,32797,47718,62080,906,27295,39799,51704,6,105,188,245,45,1197,1836,2513,0,1,4,6,177.7
8/15/2015,Saturday,7,1,8,3,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,742,1000,1297,209,8990,13888,18835,0,6,10,13,177.86
7/11/2018,Wednesday,6,1,7,3,68,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,585,17586,25105,32171,145,4233,5943,7691,3342,94056,134407,171959,3182,89543,128000,163422,0,182,267,401,8,3479,5130,6859,0,7,11,20,177.86
8/3/2016,Wednesday,5,0,8,3,87,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,592,858,1079,1329,16443,23616,29703,0,13,19,26,177.94
3/24/2017,Friday,7,1,3,2,59,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,288,8706,14207,19971,110,3164,5161,7326,999,29413,46205,63650,881,25972,40751,55984,6,60,96,121,27,519,846,1124,0,0,0,1,178.03
1/28/2019,Monday,4,0,1,1,9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,584,25685,41078,56971,145,6096,10178,14305,3409,135433,209905,283812,3212,127898,197740,267422,26,787,1232,1513,2925,40274,51425,58467,0,13,23,25,178.08
6/4/2016,Saturday,1,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,370,493,572,75,10688,11580,12021,1,18,21,23,178.13
4/22/2016,Friday,6,1,4,2,83,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,242,414,557,37,1570,2586,3399,0,12,18,23,178.16
1/20/2017,Friday,7,1,1,1,73,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,200,263,1,780,1398,1778,0,4,5,5,178.17
9/12/2015,Saturday,7,1,9,4,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,642,1019,1389,158,7261,11413,15991,0,14,17,22,178.2
3/13/2015,Friday,6,1,3,2,40,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,215,351,500,153,6645,11256,14877,0,0,2,6,178.24
9/29/2016,Thursday,6,1,9,4,47,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,487,765,1026,558,13744,21799,29606,0,7,10,13,178.24
3/5/2016,Saturday,7,1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,268,471,643,69,1882,3300,4528,0,9,12,18,178.29
1/9/2015,Friday,6,1,1,1,57,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,336,486,680,132,6960,10569,14629,0,5,6,8,178.52
3/16/2018,Friday,1,0,3,2,77,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,369,13884,21345,30992,95,3440,5319,7640,1946,73767,113292,163904,1842,69620,106835,154394,2,90,113,151,17,619,869,1187,0,3,5,10,178.52
11/25/2015,Wednesday,4,0,11,4,39,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,668,1074,1402,151,7064,11302,16265,0,16,23,30,178.59
2/27/2016,Saturday,7,1,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,277,465,728,58,2087,3428,4988,2,9,13,25,178.79
9/16/2016,Friday,7,1,9,4,89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,534,788,1056,532,16740,24106,33705,0,7,12,14,178.79
1/3/2019,Thursday,7,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1000,30723,44858,58642,225,7935,11696,15174,4825,147738,216113,285530,4559,138904,203591,269488,57,684,1168,1712,1278,17788,33426,47999,0,5,7,12,178.82
6/13/2018,Wednesday,6,1,6,3,54,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,534,14757,21720,27999,116,3473,5190,6669,2993,78933,117619,152677,2822,74966,111438,144725,18,266,414,617,174,4947,8857,12237,2,16,19,32,178.86
11/5/2016,Saturday,1,0,11,4,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,270,488,699,71,5238,9572,14807,0,4,6,9,178.91
4/22/2017,Saturday,1,0,4,2,89,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250,8469,12618,17286,104,3328,4830,6522,931,27995,41789,57583,798,24501,36678,50653,1,56,87,116,37,532,871,1129,0,0,1,1,179.11
7/5/2017,Wednesday,5,0,7,3,69,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,328,9604,13677,17536,118,3900,5622,7192,960,28949,41777,53974,804,24121,34877,45223,2,192,231,277,55,1962,2408,2869,0,4,4,5,179.11
3/11/2016,Friday,6,1,3,2,71,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,282,460,641,69,1803,3085,4405,1,11,14,19,179.12
9/17/2016,Saturday,1,0,9,4,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,540,799,1060,139,15262,23020,32715,1,8,12,15,179.18
2/10/2017,Friday,7,1,2,1,50,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,113,165,7,640,1032,1417,0,1,2,5,179.19
1/5/2015,Monday,2,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,363,496,697,393,7431,10321,14766,1,5,6,9,179.2
6/25/2018,Monday,4,0,6,3,54,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,627,15553,22529,29659,145,3662,5386,7136,3207,82847,119848,159537,3025,78840,113741,151302,12,222,345,485,197,3451,5553,9466,2,14,23,27,179.36
5/6/2016,Friday,6,1,5,2,85,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,171,332,509,41,1015,2103,3117,2,10,16,22,179.42
6/3/2017,Saturday,1,0,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,245,7815,11638,15817,95,3208,4660,6281,822,24555,37380,51126,694,20772,31811,43770,6,86,128,168,49,913,1369,1756,0,1,1,1,179.49
7/18/2017,Tuesday,4,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,399,10012,14738,18679,156,4147,6091,7742,1318,30206,44660,56786,1070,25078,37178,47362,12,134,251,305,99,1708,2783,3299,0,3,4,6,179.49
4/21/2017,Friday,7,1,4,2,87,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,229,8523,12697,17472,83,3325,4843,6560,749,28155,41948,58275,645,24668,36819,51256,0,57,91,126,29,519,873,1144,0,0,1,1,179.5
1/8/2016,Friday,6,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,686,1150,1504,71,3606,6977,10307,0,28,42,52,179.61
11/17/2017,Friday,7,1,11,4,78,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,989,26122,38219,45821,262,6895,10128,13264,5082,141135,205020,231210,4825,133989,194645,217685,4,113,176,218,66,1306,1892,2396,0,2,2,6,179.64
4/7/2017,Friday,7,1,4,2,87,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Spring Break,spr,School,287,8577,13245,18760,102,3278,4970,6982,856,28224,44018,60809,746,24962,38937,53693,0,60,94,120,0,597,869,1146,0,1,1,1,179.66
9/4/2017,Monday,3,0,9,4,32,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Labor Day,lbd,Federal,454,11299,16749,22046,206,4826,7136,9372,1121,31963,48197,64268,961,26728,40304,53649,0,131,170,205,7,1226,1721,2197,0,2,2,3,179.76
2/3/2016,Wednesday,4,0,2,1,21,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,373,740,1192,71,2635,4653,6882,0,9,29,46,179.79
6/26/2018,Tuesday,5,0,6,3,56,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,15735,22801,29847,160,3713,5461,7190,3470,83915,121467,160808,3295,79839,115261,152502,12,219,336,485,132,3380,5323,9138,0,13,22,27,179.83
6/3/2016,Friday,7,1,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,373,481,562,85,9955,10707,11188,1,17,20,23,179.86
11/21/2018,Wednesday,6,1,11,4,63,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,590,25722,38775,51547,149,6540,9852,13116,2741,132088,201128,267365,2580,125332,190880,253818,6,659,981,1292,20,21818,32025,39552,0,1,5,8,179.88
7/3/2018,Tuesday,5,0,7,3,82,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,537,16794,24231,31051,146,3920,5731,7383,3217,89334,129227,166038,3085,85035,122926,157602,12,190,327,440,383,3695,5381,7364,1,11,18,27,179.92
10/18/2018,Thursday,7,1,10,4,58,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,Oktoberfest,wsu,Leavenworth,828,25657,36931,47219,212,6507,9101,11508,4462,134090,191712,246653,4221,127272,181999,233964,40,960,1181,1441,736,25210,55202,91892,0,3,12,14,179.99
7/8/2018,Sunday,3,0,7,3,59,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,639,17184,24589,31570,157,4096,5797,7540,3425,91917,130740,168353,3291,87535,124527,160021,0,188,302,413,5,3274,5239,6743,0,8,15,22,180.03
8/3/2017,Thursday,6,1,8,3,89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,346,10780,15596,20361,148,4553,6504,8459,1122,32504,46993,61529,927,27087,39094,51278,7,137,209,270,86,1326,2115,2999,0,3,5,6,180.11
10/30/2015,Friday,6,1,10,4,76,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,702,1048,1404,126,9112,12805,16673,1,15,22,35,180.18
7/3/2017,Monday,3,0,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,329,9564,13505,17379,136,3943,5594,7151,1072,29043,41169,53598,878,24177,34361,44949,4,189,230,275,69,1883,2366,2831,0,4,4,5,180.22
7/17/2015,Friday,6,1,7,3,80,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,536,756,993,394,9708,15947,21018,0,7,9,11,180.34
1/7/2017,Saturday,1,0,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,170,242,312,46,1058,1548,5525,0,1,2,3,180.38
1/28/2017,Saturday,1,0,1,1,91,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,154,242,1,767,1178,1796,0,4,4,5,180.54
