"","date","blrooms","blprice","blprofit","maxprofit","maxprofitprice","maxprofitrooms","incprofit","incprofitpercent","pricediff","pricediffpercent","incbookings","incbookingspercent"
"1",2019.0848733744,23.1755875456634,175.478635962712,2487.43080150585,2628.81590853036,166.208400944447,24.3343669229466,141.385107024513,0.0568398151775401,-9.27023501826537,-0.0528282828699172,1.15877937728317,0.05
"2",2019.08761122519,35.4855437261218,157.62397338822,3706.2338067997,4142.25157186745,186.012408369118,31.9369893535096,436.01776506775,0.117644430383157,28.3884349808974,0.180102267254601,-3.54855437261218,-0.1
"3",2019.09034907598,56.0064424576363,194.955375471454,8518.59595670798,9825.17591070476,239.760529437563,50.4057982118726,1306.57995399678,0.153379730725215,44.805153966109,0.229822613804611,-5.60064424576363,-0.1
"4",2019.09308692676,54.7277739137104,173.017494554461,7100.6679772504,8447.0942305615,216.799713685429,49.2549965223393,1346.42625331111,0.189619660801614,43.7822191309683,0.253050821500521,-5.47277739137104,-0.1
"5",2019.09582477755,54.2621339763159,168.299347311888,6775.72838255628,8118.10855653849,211.709054492941,48.8359205786843,1342.38017398221,0.198115995534604,43.4097071810527,0.257931524241785,-5.42621339763159,-0.1
"6",2019.09856262834,32.5242152263807,172.498721587735,3797.28016653549,4079.18584466813,198.518093768839,29.2717937037426,281.905678132642,0.0742388408990751,26.0193721811045,0.150838058054075,-3.25242152263807,-0.1
"7",2019.10130047912,21.4710176284074,143.784786148853,1550.43023738862,1629.47001004326,135.19637909749,22.5445685098277,79.0397726546439,0.0509792512740013,-8.58840705136296,-0.0597309860201192,1.07355088142037,0.0500000000000001
"8",2019.10403832991,20.1668891609779,153.318566608029,1587.78631007968,1692.82404842916,145.251810943638,21.1752336190268,105.037738349475,0.066153573489498,-8.0667556643912,-0.0526143430822342,1.0083444580489,0.0500000000000001
"9",2019.1067761807,31.1709190422744,173.613206013822,3632.41021326971,3868.74005157955,198.549941247642,28.053827138047,236.329838309847,0.0650614397697983,24.9367352338195,0.143633861768754,-3.11709190422744,-0.1
"10",2019.10951403149,59.7697695544131,193.368945727347,9063.37308624302,10629.1820314818,241.184761370878,53.7927925989718,1565.8089452388,0.172762274082647,47.8158156435304,0.24727763531871,-5.9769769554413,-0.0999999999999999
"11",2019.11225188227,55.1044288113809,182.47391633494,7677.51021232806,8996.03780482781,226.557459384045,49.5939859302428,1318.52759249975,0.171738956515166,44.0835430491047,0.241588189339824,-5.51044288113809,-0.1
"12",2019.11498973306,58.4236645566297,180.238959945429,8069.6289219718,9620.25972753704,226.977891590732,52.5812981009667,1550.63080556524,0.192156395363264,46.7389316453038,0.25931647441516,-5.84236645566297,-0.1
"13",2019.11772758385,73.8924083330092,175.37985560614,10111.9296955079,12932.0000926186,234.493782272547,66.5031674997083,2820.07039711078,0.278885482991794,59.1139266664073,0.337062238203472,-7.38924083330092,-0.0999999999999999
"14",2019.12046543463,52.4237588461332,162.058397549923,6185.11638099463,7445.34509681659,203.99740462683,47.1813829615198,1260.22871582196,0.203751819398958,41.9390070769065,0.258789471640844,-5.24237588461332,-0.1
"15",2019.12320328542,41.5737625531604,156.345970615815,4460.5461946963,5158.92354286179,189.604980658344,37.4163862978444,698.377348165494,0.156567675276154,33.2590100425283,0.21272700480561,-4.15737625531604,-0.0999999999999999
"16",2019.12594113621,52.5636737115172,167.560973638275,6493.5285023185,7733.49230380326,209.611912607489,47.3073063403655,1239.96380148476,0.190953778218119,42.0509389692137,0.250959027368699,-5.25636737115172,-0.0999999999999999
"17",2019.128678987,72.7925253499269,183.755185438109,10556.1908604359,13215.6730321025,241.98920571805,65.5132728149342,2659.48217166663,0.251935779376086,58.2340202799415,0.316910895010119,-7.27925253499269,-0.1
"18",2019.13141683778,78.5308686589041,186.763226466292,11703.4066914649,14873.3761015903,249.587921393415,70.6777817930137,3169.96941012538,0.270858690439013,62.8246949271232,0.336386857926029,-7.8530868658904,-0.1
"19",2019.13415468857,84.3144751654485,169.640785193081,11195.311891073,15094.2108221117,237.09236532544,75.8830276489036,3898.89893103872,0.348261751791628,67.4515801323588,0.397614170764343,-8.43144751654485,-0.1
"20",2019.13689253936,69.5403332443633,166.47759317618,8838.39897608199,11336.3768008445,222.10985977167,62.586299919927,2497.97782476251,0.282627864110051,55.6322665954906,0.334172698764429,-6.95403332443633,-0.1
"21",2019.13963039014,42.780601159064,146.009938738963,4176.87792547435,4976.91961450916,180.234419666214,38.5025410431576,800.041689034819,0.191540596423814,34.2244809272512,0.23439829660115,-4.2780601159064,-0.1
"22",2019.14236824093,43.4757468916636,147.834902820458,4340.33914448434,5167.20643884326,182.615500333789,39.1281722024972,826.867294358924,0.190507531055424,34.7805975133309,0.235266482067303,-4.34757468916636,-0.0999999999999999
"23",2019.14510609172,49.8369649208377,164.437312379991,5949.13244573751,7042.49981337875,204.306884316661,44.8532684287539,1093.36736764123,0.18378601882105,39.8695719366702,0.242460615292333,-4.98369649208377,-0.1
"24",2019.14784394251,65.2162055647813,175.977414174386,8846.17407843592,10923.8271677452,228.150378626212,58.6945850083032,2077.65308930923,0.234864594669675,52.1729644518251,0.296475344274145,-6.52162055647813,-0.1
"25",2019.15058179329,60.7752686367144,175.392061838923,8140.11795908988,9885.52212324355,224.012276748294,54.697741773043,1745.40416415367,0.214420008767148,48.6202149093715,0.277208753917401,-6.07752686367144,-0.0999999999999999
"26",2019.15331964408,60.8772244228415,166.44785411501,7610.9527590888,9418.20372964881,215.149633653283,54.7895019805573,1807.25097056,0.23745397294732,48.7017795382732,0.292594817741669,-6.08772244228415,-0.1
